Cultivation,Sample Point,Average Growth Rate 1/h,Biomass g/L,Biomass model g/L,Biomass viable model g/L,CPR,CPR_Std,Cp mg/L,Cs g/L,Death rate (10^-3 h^-1),Growth Rate model 1/h,OUR,OUR_Std,Time d,Time h,Total titre mg/L,Viability %,Viability model %,qCO2 mmol/gh,qCO2 model mmol/gh,qCO2 viable mmol/gh,qCO2 viable model mmol/gh,qO2 mmol/gh,qO2 model mmol/gh,qO2 viable mmol/gh,qO2 viable model mmol/gh,qP mg/gh,qP model mg/gh,qS g/gh,qS model g/gh,qS viable g/gh
C023,R7,0.000685,16.88,17.087012864538195,16.634517039241278,0.0026356062083099374,0.0003165536013271318,8.26044855815337,3.5006047403866525,0.0134354028955345,0.0008189396540778,0.004770395395747418,0.0011375384667824682,16.85,404.5,163.98853121202862,97.635,97.35181433475704,0.106546696,,0.109127563,,-0.084393423,,-0.086437674,,0.007776409,0.0123482179620137,0.0049,0.0051743757192011,0.005018692
C023,R8,0.000405,17.38,18.009894691565023,17.413437871666428,0.0025543096034406076,0.0003165626707906158,8.638484822581146,3.499616067617148,0.0262121352464542,0.0006928431965731,0.004675311529291015,0.0011375906699127327,19.85,476.5,179.34792565621228,97.66,96.68817152952067,0.103481486,,0.105960973,,-0.087088379,,-0.089175076,,0.009183587,0.0127506642437512,0.005,0.0049415245921921,0.005119803
C023,R9,0.000818,18.8,19.092108124308183,18.115119449122226,0.002345252791940311,0.0003166255874957086,10.91112755710334,3.5014232066979294,0.0491372815134017,0.0005868002998846,0.0053054561442795745,0.0011377826206412196,23.85,572.5,204.13159938223723,93.84,94.88276166872296,0.086193516,,0.091851573,,-0.099454057,,-0.105982584,,0.013801544,0.0172698832907496,0.0046,0.0047525695785147,0.004901961
C023,SS,0.024846,4.76,4.76,4.602444,0.004592153637162255,0.000319376853921963,44.300475829203634,9.80843,0.5057597798288739,0.026499501,0.010040707955579209,0.0011485618842383605,0.0,0.0,44.300475829203634,96.69,96.69,0.677115378,,0.700295147,,-0.823013167,,-0.851187472,,0.232243754,0.1613122741987845,0.0512,0.0528036858668029,0.052952736
C024,R1,0.01827,7.04,6.9306765308407,6.642577983836919,0.003844610347979227,0.0003169554260078882,37.39945925866739,7.348096266629027,0.2384365009181101,0.0126310537412599,0.007131224705857503,0.0010023668648434382,0.92,22.0,59.94138341985241,95.76,95.8431396167203,0.407234227,,0.425265483,,-0.417351847,,-0.435831085,,0.120569351,0.0940688420847767,0.0254,0.0273099258309873,0.026524645
C024,R10,0.00055,19.44,19.73083458318297,18.13059073227259,0.0027475945408816926,0.00031877660988630666,20.589970055595224,3.500367491577429,0.2476594069735249,0.0005092645134582,0.0065833352067049405,0.0010072984218401709,27.88,669.0,253.64206898834308,92.61,91.88962917831005,0.097095848,,0.104843805,,-0.09617985,,-0.103854713,,0.022856817,0.0357029954701995,0.0045,0.0047663291731296,0.004859086
C024,R2,0.00716,8.28,8.536272666903026,8.190864222693246,0.0032626377608400148,0.0003167978033843908,31.239438805666133,5.817676322574618,0.0403300013061099,0.0073795080144076,0.006746351031888934,0.001001806095483394,1.85,44.5,72.8205370579942,95.56,95.95363857636598,0.270976272,,0.28356663,,-0.268825667,,-0.281316101,,0.056217053,0.0636271305107083,0.0171,0.017534854761526,0.017894517
C024,R3,0.00398,12.16,12.21573590184962,11.802138094108102,0.002431157530291106,0.0003166053269092024,14.981031960043916,3.765286058673236,-0.0002036248757964,0.0022001358951531,0.006118436910848013,0.0010013680821957284,5.88,141.0,109.10969656355428,96.84,96.61422110739235,0.140581675,,0.145169016,,-0.139117282,,-0.143656839,,0.010663058,0.0227191209257039,0.0076,0.0078762524815227,0.007847997
C024,R4,0.00203,13.4,13.350981287219987,12.9376022018269,0.002449991775121063,0.00031656992296702697,11.197697963583822,3.589854883643452,0.0,0.0016512009510597,0.006156574054663189,0.0010012822099939886,7.9,189.5,121.0394967483032,96.985,96.90375503867428,0.127572624,,0.13153851,,-0.13288815,,-0.137019282,,0.013197477,0.0169508575973296,0.0066,0.0068502345919946,0.006805176
C024,R5,0.00148,14.39,14.296987391054731,13.883608305661646,0.0025332941614681914,0.0003165506318544101,9.2196037063836,3.531767975196013,0.0,0.00134567297469,0.006190828767296416,0.0010012682048756672,9.88,237.0,130.90417417506825,97.13,97.10862803410087,0.118795912,,0.122306096,,-0.098996593,,-0.101921747,,0.017776532,0.0143558480606269,0.0059,0.0062801809437583,0.006074333
