Cultivation,mS opt (mg/g.h),mS SD (mg/g.h),kd opt (10^-3 1/h),kd opt SD (10^-3 1/h),SSE,R2,R2_d,Mu end (h^-1),Doubling time (d),qP at 0 (mg/gh)
C023,3.6374491357153147,7.411173280892358e-06,,,342.1549679349446,0.9991622423903246,0.9774450896363707,0.0005295291053473178,54.54116163149887,0.03341921790749196
C024,3.7641243605111634,9.875508534935647e-06,,,821.8718367989611,0.9970302670780941,0.9224613432286745,0.0005086691305423665,56.77783610052503,0.0363132853251246
C030,3.546487207879271,8.296764732957885e-06,,,944.117173174011,0.9980918804271911,0.9988193867262417,0.0005030123457090126,57.41634926002092,0.021331277241118097
