Fit,Cultivation,mS opt (mg/g.h),mS SD (mg/g.h),kd opt (10^-3 1/h),kd opt SD (10^-3 1/h),SSE,R2,R2_d,Mu end (h^-1),Doubling time (d),qP at 0 (mg/gh)
Dynamic,C023,3.6374491357153147,7.411173280892358e-06,,,342.1549679349446,0.9991622423903246,0.9774450896363707,0.0005295291053473178,54.54116163149887,0.03341921790749196
Dynamic,C024,3.7641243605111634,9.875508534935647e-06,,,821.8718367989611,0.9970302670780941,0.9224613432286745,0.0005086691305423665,56.77783610052503,0.0363132853251246
Dynamic,C030,3.546487207879271,8.296764732957885e-06,,,944.117173174011,0.9980918804271911,0.9988193867262417,0.0005030123457090126,57.41634926002092,0.021331277241118097
Gompertz,C023,3.6398895260326287,0.034055065932932845,0.06423539191122032,0.021318069603288047,667.8444374687072,0.9976520057201932,0.6457190342320128,0.0004468852244537678,64.62762907105005,0.010019669961089855
Gompertz,C024,3.778981641434993,0.0016461717992029316,0.06496468483855386,0.001017883100396948,1425.063728643605,0.9935666339731766,0.4259943081342408,0.00042991150761277565,67.17924971048808,0.009441444274254935
Gompertz,C030,3.557760471577672,0.30564278730953137,0.1453500822534361,0.09605660099146111,1203.6787717568209,0.9971474421893252,0.9922352194689218,0.0005174002214151534,55.81971427135767,0.008617704406159046
