,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Fitted,Fitted,Fitted,Fitted,Fitted,Fitted,Fitted,Fitted,Fitted,Fitted,Fitted,Fitted
MIPCS124_SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.707107395535152e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIPCS126_SC,2.442572617212199e-07,6.697672683347962e-08,3.1346942750647597e-08,1.7886603626221363e-08,5.331798243377771e-09,3.957003697446657e-09,3.19180167709983e-09,2.26411532657224e-09,1.82163008070767e-09,1.5028394960817195e-09,1.2419038746062122e-09,1.1578835136971862e-09,2.692585319764199e-07,6.935912846999508e-08,3.283380560827597e-08,1.9243902959975462e-08,5.7903297921637766e-09,4.358460987550058e-09,3.56149179245388e-09,2.595287722478247e-09,2.1344415637203828e-09,1.8024159520357883e-09,1.5306479911609728e-09,1.4431393948633615e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIPCS224_SC,-2.442572617212199e-07,-6.697672683347962e-08,-3.1346942750647597e-08,-1.7886603626221363e-08,-5.331798243377771e-09,-3.957003697446657e-09,-3.19180167709983e-09,-2.26411532657224e-09,-1.82163008070767e-09,-1.5028394960817195e-09,-1.2419038746062122e-09,-1.1578835136971862e-09,-2.692585319764199e-07,-6.935912846999508e-08,-3.283380560827597e-08,-1.9243902959975462e-08,-5.7903297921637766e-09,-4.358460987550058e-09,-3.56149179245388e-09,-2.595287722478247e-09,-2.1344415637203828e-09,-1.8024159520357883e-09,-1.5306479911609728e-09,-1.4431393948633615e-09,-4.72616953843473e-08,-1.0958409444887028e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.488978503604552e-09,5.926399291461397e-10,3.977082973440432e-10,2.8695059657087207e-10,1.1076118471680457e-08,1.1040275524836111e-08,1.0989127008745633e-08,1.1102129005295884e-08,1.2163228405845518e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIPCS226_SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.808736628032694e-08,-8.83118878793837e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7078613687417346e-10,1.8171892939405397e-10,1.3111206265012696e-10,-1.360228767648911e-10,-1.3558269902988955e-10,-1.3495455765358944e-10,-1.3634230523775078e-10,-1.4937338587898053e-10,2.0110399665956313e-08,4.661553407351414e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIPCS324_SC,1.6780473880247805e-05,4.601301133460049e-06,2.15353496696949e-06,1.2288096691214076e-06,3.662945393200528e-07,2.718461540145853e-07,2.1927677521675832e-07,1.5554472293551288e-07,1.251459865446169e-07,1.0324507338081412e-07,8.531879618544676e-08,7.954659739099669e-08,1.8498061146780047e-05,4.764972125888662e-06,2.2556824452885587e-06,1.3220561333503138e-06,3.9779565672165137e-07,2.99426269844689e-07,2.446744861415815e-07,1.7829626653425556e-07,1.4663613542759028e-07,1.2382597590485864e-07,1.0515551699275881e-07,9.914367642711292e-08,3.7498278419111734e-07,8.694598978163049e-08,8.229033121987345e-09,5.399256615377633e-09,2.587285728955379e-09,2.4248240554850673e-09,2.4358120886902696e-09,2.605372019308122e-09,2.771123599459287e-09,2.943248304211353e-09,3.171721507820232e-09,3.315006611012509e-09,3.746703491680009e-07,8.684789667085795e-08,3.889483195872987e-08,2.118776668560298e-08,5.044927679822764e-09,3.3855457573657353e-09,2.4427058255557194e-09,-4.2653596976786294e-09,-4.251556752061354e-09,-4.231859705692119e-09,-4.2753762284772065e-09,-4.68400047982555e-09,3.746702585968157e-07,8.684787222562383e-08,3.1908858615427345e-08,1.6221941313049235e-08,4.031192016813946e-09,2.942952713789508e-09,2.393084863215719e-09,1.7969321355594661e-09,1.5378167961027975e-09,1.360334116302315e-09,1.2323036766896147e-09,1.236314040820669e-09
MIPCS326_SC,1.0961403821595216e-05,3.0056791118389175e-06,1.4067401543805323e-06,8.026876415555457e-07,2.392722870513471e-07,1.7757636004600322e-07,1.432367940858506e-07,1.0160550486129189e-07,8.174832873952243e-08,6.744213244474964e-08,5.5732262702181125e-08,5.196172544703431e-08,1.208337259087122e-05,3.112592888809367e-06,1.4734653116796313e-06,8.635984451861929e-07,2.5984956461422027e-07,1.9559234631776113e-07,1.5982718167429793e-07,1.1646735314580321e-07,9.57862040566047e-08,8.088606645930016e-08,6.869007955627683e-08,6.476300260830933e-08,3.354124001989727e-07,7.777093869319776e-08,5.2162639641096275e-09,3.422509941029425e-09,1.640042637356572e-09,1.537060549262807e-09,1.544025697139573e-09,1.651507247292481e-09,1.7565747415521603e-09,1.8656820650341805e-09,2.010507872711538e-09,2.101334187641661e-09,1.9348463657601003e-07,4.484938229584153e-08,2.0085796602083076e-08,1.0941638018926869e-08,2.60526620494605e-09,1.7483398190701892e-09,1.2614450275269111e-09,-3.6646747309431614e-09,-3.6528156359074617e-09,-3.6358924985357562e-09,-3.673280646952833e-09,-4.02435888525049e-09,2.374980166753856e-07,5.505160052818306e-08,2.022656281464227e-08,1.0282853297420022e-08,2.425144688547013e-09,1.7704654092913957e-09,1.439667682180895e-09,1.0810252077701584e-09,9.251427275957945e-10,8.183700436526508e-10,7.413475751153536e-10,7.437601796815919e-10
NADH2_u6mh,3.8053876827075808,1.1815459686781726,0.6613837937654838,0.4789294099770467,0.29113480544420206,0.27166392561255326,0.2608402509359078,0.24775066804941048,0.24151327806581446,0.2370213244002605,0.23338229256368787,0.23236123442114648,3.5836561329864125,1.0211213152626586,0.6138453310400175,0.4479278953394803,0.2790222219686225,0.2610215926942647,0.25101624941622386,0.23891826184003043,0.2331540890311134,0.22900327268361154,0.22564315952953554,0.22471197017164127,3.9149368217146314,1.1849694170136769,0.6690066158686034,0.48038841229547063,0.28513721013699334,0.2647974187270515,0.25346271321545316,0.24089545042898072,0.23503530836504416,0.23046794947764354,0.22582018216543404,0.22372291256453147,3.914977115200623,1.1869898750130121,0.667342335358746,0.48444264858020913,0.2875068147328621,0.26739123869218606,0.2562076918319392,0.24267277573914503,0.2361956562291266,0.2315297111690557,0.22774301067687322,0.22665490492102947,3.9149771057847103,1.1869898322528223,0.6683316339952058,0.4846193728716444,0.28771574345682666,0.26749908498596453,0.25625210197505527,0.24264943076191423,0.2361736929569874,0.23151385733577973,0.22773331675759612,0.2266512995101374
NDPK10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
