,,,G6PDH2,G6PDH2,PGI,PGI,PGMT,PGMT,TRE6PS,TRE6PS,PFK,PFK,PYK,PYK,PC,PC,PDHa1,PDHa1,CSm,CSm,ASPTA,ASPTA,ASPTAm,ASPTAm,AKGMALtm,AKGMALtm,ASPGLU2m,ASPGLU2m,MDH,MDH,MDHm,MDHm,ME1m,ME1m,Ex_nh4,Ex_nh4
,,,0.025,0.975,0.025,0.975,0.025,0.975,0.025,0.975,0.025,0.975,0.025,0.975,0.025,0.975,0.025,0.975,0.025,0.975,0.025,0.975,0.025,0.975,0.025,0.975,0.025,0.975,0.025,0.975,0.025,0.975,0.025,0.975,0.025,0.975
Equation,Time,Growth Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScaledConsensus,C0.1,0.1,0.44266171466196425,0.4664984427664133,0.3451462569255219,0.369009524700054,-0.1877938066425678,-0.18716383958736643,0.0008478827989473877,0.0008507366527216334,0.5785272443903907,0.586586102201168,1.1486508578536858,1.1808319167516452,0.3658882302800451,0.38897358680131905,0.6580012668980394,0.6912800397677793,0.5275144243672445,0.5605916838457541,0.0,0.6659787994855282,-0.9542089932533148,-0.7986400010122165,0.9577206222244898,1.1065745364875637,0.7986400010122165,0.9542089932533147,-1.0432530204966095,-0.9024373249115067,1.3580997321071926,1.4888133370084236,0.0,0.033071317831894424,-0.6070280787725877,-0.6049924719182798
ScaledConsensus,0.0,0.025,0.35595930266705816,0.47897890414394145,0.3475830962402617,0.4705410934255215,-0.17316315126190246,-0.17249853278166982,0.0007814465610007307,0.0007844573913966777,0.5953045390997113,0.6363421862514091,1.1956365583889963,1.2386219834407748,0.2202187035650611,0.35784747577205644,0.7459350883349335,0.7890551355015629,0.6255999779626011,0.6675959005180613,-0.06105636360087611,0.045705000016965626,-0.30945581764740987,-0.1318098902667372,0.2677118253303073,0.44849758320774724,0.13180989026673717,0.30945581764740965,-0.3678355347756148,-0.21340016776586523,0.7961466501667118,0.9519736048631559,0.0,0.02337036508491011,-0.5607397435477101,-0.5585954213525008
ScaledConsensus,0.9,0.013,0.3853137082893361,0.42505275034816586,0.4136933776600965,0.4533715191434041,-0.1608644182531792,-0.16013397156132597,0.0007254330767808379,0.0007287421197398616,0.6305310324187634,0.6438408139589405,1.2649793360534076,1.2935945360670327,0.3175118308409835,0.3340364799188078,0.8437296505758318,0.8729990068949556,0.7319645409945172,0.7613255357471314,0.0,0.2276048499858405,-0.4762285774755538,-0.27244565944911453,0.4081085566711734,0.6081604135446637,0.27244565944911453,0.47622857747555375,-0.5405122822055163,-0.35799294744995497,1.0274169071943575,1.2139191933153253,0.0,0.02863219673020424,-0.5221956589058662,-0.5198675812535628
ScaledConsensus,1.9,0.0073,0.35022918150377635,0.38764540009296755,0.46434129133322305,0.502059306580983,-0.14760477428290353,-0.1468376935856619,0.0006651987633021057,0.0006686737642960459,0.6617902680871038,0.6744854549408009,1.3241715922813881,1.354873958114998,0.2960582787798468,0.3069365722059131,0.9373885138260255,0.9687412424932549,0.8346958241972506,0.8662829853278224,0.0,0.5410927135472788,-0.7850376643367866,-0.5609155971361279,0.6866726318341049,0.9061954711376873,0.5609155971361279,0.7850376643367862,-0.8408257175873447,-0.6417218474295271,1.4217922006160342,1.6285089111627558,0.0,0.026512705120032308,-0.4801063276022719,-0.47762832768525515
ScaledConsensus,5.9,0.0022,0.23348234192192194,0.25830074877366765,0.6430932217727611,0.6681799866106661,-0.09887847090095443,-0.09776897981979654,0.00044290946607314244,0.0004479356420982404,0.774579296770554,0.7832170837577727,1.5497762746330963,1.5695535800675415,0.19235354969368718,0.20553970196617896,1.2911321233932416,1.3118934924834722,1.2225171027237314,1.2436065203427413,0.0,0.991180721986099,-1.167343753403769,-0.9391728284459271,1.0231715429387493,1.2478777037582898,0.9391728284459271,1.1673437534037687,-1.2065590294848798,-0.9929757810012053,2.181849789628537,2.392803228200948,0.0,0.01769634944133318,-0.3224905704851911,-0.31887209998426397
ScaledConsensus,7.9,0.0017,0.204226642369891,0.22445020551372896,0.6903654057317633,0.7106273706830794,-0.08489857397795028,-0.08464674436274902,0.00038346359366372046,0.00038460442300054874,0.8048600927029633,0.8116116080444203,1.6103159709339558,1.6262018516582182,0.16994173037346913,0.17689771236051324,1.3872244394274582,1.403335341549674,1.3281367767781442,1.3441451760371963,0.0,1.0735741051327103,-1.2096902137345067,-1.097562506049155,1.1699682500722133,1.2805984985769965,1.097562506049155,1.2096902137345067,-1.2398960698369481,-1.1417907920115682,2.4407485301841922,2.543085655100289,0.0,0.015297588763114144,-0.2769248699845457,-0.27591377985937604
ScaledConsensus,9.9,0.0014,0.18050968316612154,0.19849933488619428,0.7255240762379696,0.7435559166139095,-0.07570322797123835,-0.07546343201523269,0.00034186168704550523,0.0003429480019383957,0.8265329988485272,0.8325582684727266,1.6525403041847975,1.667076299353231,0.14827463383784503,0.15778698375494865,1.4534143786785427,1.4681612471120877,1.4006485617680366,1.4154202277158123,0.0,1.1568338167766747,-1.2743972034808049,-1.1821642515603346,1.2468090016839926,1.3355601584697288,1.1821642515603346,1.2743972034808049,-1.3009590279194325,-1.2242908752785469,2.596735930180377,2.6774713591761823,0.0,0.013583180025668495,-0.24720414433470078,-0.24622739893832496
ScaledConsensus,13.9,0.001,0.15562837357254017,0.17489343886603134,0.7714892177764812,0.7907657521377363,-0.053468542637887174,-0.05318788452392536,0.00028954525022001414,0.0002908277217048967,0.8614841381790497,0.8679237885954174,1.724478255350587,1.7386931580101455,0.12585477430682038,0.13393865695498017,1.5553159861349135,1.5696346959056815,1.5105571904406885,1.5248769770678998,0.0,1.3447421268414417,-1.4497429347661284,-1.3398499837483213,1.3947729349087312,1.5033919187171672,1.3398499837483213,1.4497429347661281,-1.470898850429281,-1.3731972276661466,2.8611900160597923,2.962401686771497,0.0,0.011546875719532624,-0.21039283031279968,-0.20940869322986916
