,0.0,0.9,1.9,5.9,7.9,9.9,13.9,16.9,19.9,23.9,27.9,C0.1
RNA,0.13634032296939605,0.1364035271773111,0.13395200059035323,0.12059050156911162,0.11279554468216754,0.10485526241427964,0.08455574357977644,0.06961110493466202,0.05632931420677182,0.04164393524832013,0.027270541331781126,0.1671857996746315
L-valine residue,0.1380407776608011,0.10784353178067335,0.11230730193332139,0.13004597185886269,0.13804525424754013,0.14525550382995817,0.1504679628642902,0.1492732287464597,0.14574940316707544,0.13841483720208977,0.11658687352035561,0.16330853087097819
L-tyrosine residue,0.06737913723227854,0.06405752273339037,0.06523641157092742,0.06864400699086613,0.06944345477030944,0.06970716063204048,0.06564896913772197,0.06066811803241459,0.055152434398046284,0.04761892880227003,0.03644771308522919,0.08146761337057686
L-tryptophan residue,0.06737913723227844,0.06405752274982184,0.06523641158487418,0.06864400699296332,0.06944345476603582,0.06970716062146348,0.0656489691157938,0.06066811800391349,0.0551524343645962,0.047618928764708725,0.03644771304980108,0.08146761337057684
L-threonine residue,0.16847667321222495,0.13078722435613127,0.13685691619679338,0.16177405307658144,0.17351348818015744,0.18443841237082712,0.19501572667006795,0.19644511945246335,0.19478083091121262,0.18881169528019887,0.16234880917130487,0.1940621007015649
L-serine residue,0.2009794842542577,0.15762231964481146,0.16301964114748793,0.18327274668799148,0.1916786521123052,0.19877836216352765,0.19994754624142436,0.1940649438394629,0.18535256245114295,0.1709267292918749,0.13978032226080375,0.23844617504918658
L-proline residue,0.13097369401493852,0.11516717887397313,0.1181819257499157,0.12847756351170866,0.13212180869576282,0.13476972365208223,0.13110919033373214,0.12412523120479818,0.11561972815615525,0.10311863571797372,0.08154390161266992,0.14366298183032092
L-phenylalanine residue,0.08686004306954548,0.07113211704392883,0.07355204390760167,0.08261386616865762,0.08636303417654669,0.08952132110035635,0.08996545279641655,0.08725907218374185,0.0832844326883512,0.0767321799017571,0.06269224708943531,0.10419108244074214
L-methionine residue,0.038601606968509485,0.032352757496283906,0.032801292512026146,0.033859607372274926,0.03392565567294895,0.03373480460036765,0.031170963869327332,0.028399918725424137,0.025451442230166512,0.02156000448883312,0.01618892111306529,0.04158346057347846
glycine residue,0.19450745927721,0.16010351399567072,0.16535948458236377,0.18481600752552543,0.19272368978606763,0.19928587658486296,0.19929169918523792,0.1925895462058558,0.18314012307345082,0.16790383182232738,0.1365051953805603,0.2301191787573647
L-lysine residue,0.17142293215104912,0.15771494477141804,0.16373405386853637,0.18708875334940672,0.19727277814258368,0.20622109041825246,0.21081146598397926,0.20708533368852433,0.20019880440389368,0.18762341914564423,0.1559458463465705,0.2034018365281302
L-isoleucine residue,0.10970694888629134,0.08666956754971038,0.08996176186001956,0.10271777953537281,0.10826891198444939,0.11313883107848567,0.11557223283223272,0.1134673157509734,0.10963353526655877,0.10267143976550394,0.08527376172518225,0.12713078861570665
L-histidine residue,0.05612937151155409,0.053678335569065844,0.05587459786449591,0.06457313644880763,0.06847760022314821,0.07198475749385995,0.07442262119640448,0.07372452581306747,0.0718789253242843,0.06812874806551016,0.05727247859196186,0.055270455670425066
L-glutamine residue,0.2417560878774201,0.2614867980851857,0.24371600209256203,0.17536218457136385,0.14655704165041286,0.122012770512795,0.07873183649494124,0.054901493918888135,0.03758670517188925,0.022235339645773424,0.011637877152668565,0.27174056408594943
L-glutamic acid residue,0.2417560878774201,0.2614867968517634,0.24371600124738863,0.1753621849026886,0.14655704232191824,0.12201277139358713,0.07873183748289429,0.054901494825733504,0.037586705942972594,0.022235340220429486,0.011637877515787827,0.2717405640859494
L-cysteine residue,0.03631812275910769,0.03187189672958794,0.032828665937881044,0.03626521802545773,0.037595508113519985,0.03865272357596889,0.03820723949465654,0.03660413099686427,0.03450607373760812,0.03126983019512188,0.025127002340145893,0.0416566216219629
L-aspartic acid residue,0.13474564895828817,0.11771639312196512,0.12294201886557124,0.14412795581357998,0.15394520796837538,0.1629728005639342,0.1709061857917956,0.17110642101656934,0.16861242427201362,0.16210508675907037,0.1382364679187741,0.16460178229123737
L-asparagine residue,0.13474564895828833,0.11771639319839436,0.12294201893338957,0.14412795583273105,0.1539452079564314,0.16297280051769747,0.1709061856721113,0.1711064208436559,0.16861242404893967,0.16210508647707525,0.1382364676204134,0.1646017822912375
L-arginine residue,0.21832395991867035,0.21425095558588741,0.2181121614785464,0.2291364434512987,0.23161778940091532,0.23231340779779855,0.21843897740571605,0.20162545988645797,0.1830747883502447,0.15781519528471352,0.12059830462030431,0.21462023816852974
L-leucine residue,0.19333628740286748,0.1480283551191695,0.15388183773156833,0.17683476557084649,0.18699471997678546,0.19602518064993382,0.20152634398239508,0.19880085326224428,0.1930076362205434,0.1819109627721788,0.15206079556388624,0.2311940972124605
L-alanine residue,0.22864406913855226,0.2094361840921103,0.21381657650995953,0.22737456959584812,0.23124718000499714,0.2333355117417828,0.22207288846101636,0.20683666158346073,0.18951990103835645,0.16536132348094426,0.12791237332619862,0.28665591696500003
(1->4)-beta-D-glucan,2.172051309068318,1.4306967114535123,1.5297519144612506,1.983620497712408,2.228870456071328,2.4796380670145415,2.8747081096077975,3.101326531022163,3.294904747863632,3.5019725726599455,3.3031509552575415,2.0933621105890032
"alpha,alpha-trehalose",0.3024373053782031,0.7141625835273617,0.6570856947438292,0.4473176121172226,0.3635762085419368,0.29454528542548875,0.17987214145554473,0.12038500357573283,0.07908107009623684,0.044274002365569866,0.02192405427737672,0.12028063920151118
