Name,ChEBI,Family,Macrocomponent,Alternative Name,Model ID,Formula,ChEBI Name
2'-deoxyguanosine 5'-monophosphate residue,50322,DNA,DNA,dGMP,dgmp_c,C10H12N5O6P,2'-deoxyguanosine 5'-monophosphate residue
thymidine 5'-monophosphate residue,50300,DNA,DNA,dTMP,dtmp_c,C10H13N2O7P,thymidine 5'-monophosphate residue
N-octodecanoylsphinganine,67033,Ceramide,,,cer1_18_c,C36H73NO3,N-octodecanoylsphinganine
N-hexadecanoylsphingosine,72959,Ceramide,,,cer16d4_c,C34H67NO3,N-hexadecanoylsphingosine
N-octadecanoylsphingosine,72961,Ceramide,,,cer18d4_c,C36H71NO3,N-octadecanoylsphingosine
N-2-hydroxypalmitoylsphingosine,76751,Ceramide,,,cer2d16d4_c,C34H67NO4,N-2-hydroxypalmitoylsphingosine
N-2-hydroxystearoylsphingosine,76754,Ceramide,,,cer2d18d4_c,C36H71NO4,N-2-hydroxystearoylsphingosine
"(4E,8E)-N-hexadecanoylsphinga-4,8-dienine",157623,Ceramide,,,cer16d48_c,C34H65NO3,"(4E,8E)-N-hexadecanoylsphinga-4,8-dienine"
"N-octadecanoyl-(4E,14Z)-sphingadienine",136461,Ceramide,,,cer18d48_c,C36H69NO3,"N-octadecanoyl-(4E,14Z)-sphingadienine"
"N-(2R-hydroxyoctadecanoyl)-4E,8Z-octadecasphingadienine",189685,Ceramide,,,cer2d18d48_c,C36H69NO4,"N-(2R-hydroxyoctadecanoyl)-4E,8Z-octadecasphingadienine"
N-tetracosanoylphytosphingosine,52979,Ceramide,,,cer2_24_c,C42H85NO4,N-tetracosanoylphytosphingosine
N-hexacosanoylphytosphingosine,52980,Ceramide,,,cer2_26_c,C44H89NO4,N-hexacosanoylphytosphingosine
N-(2-hydroxytetracosanoyl)phytosphingosine,52373,Ceramide,,,cer3_24_c,C42H85NO5,N-(2-hydroxytetracosanoyl)phytosphingosine
N-(2-hydroxyhexacosanyl)-(4R)-phytosphingosine,52374,Ceramide,,,cer3_26_c,C44H89NO5,N-(2-hydroxyhexacosanyl)-(4R)-phytosphingosine
GlcCer(d18:0/18:0(2OH[R])),189686,Glucosylceramide,,,glccer180_c,C42H83NO9,GlcCer(d18:0/18:0(2OH[R]))
GlcCer(d18:1(8E)/18:0(2OH[R])),189689,Glucosylceramide,,,glccer181_c,C42H81NO9,GlcCer(d18:1(8E)/18:0(2OH[R]))
"GlcCer(d18:2(4E,8E)/16:0(2OH[R]))",189690,Glucosylceramide,,,glccer162_c,C40H75NO9,"GlcCer(d18:2(4E,8E)/16:0(2OH[R]))"
"GlcCer(d18:2(4E,8E)/18:0(2OH[R]))",189691,Glucosylceramide,,,glccer182_c,C42H79NO9,"GlcCer(d18:2(4E,8E)/18:0(2OH[R]))"
