,Type,Sample,Cer d36:2,Cer e42:0,Cer e44:0,Cer t42:0,Cer t44:0,DG 33:1,DG 34:1,DG 34:2,DG 34:3,DG 35:1,DG 35:2,DG 35:3,DG 36:1,DG 36:2,DG 36:3,DG 36:4,DG 36:5,EE 18:0,EE 18:1,EE 18:2,EE 18:3,Ergosterol,LPC 17:1,LPC 18:1,PC 32:1,PC 33:1,PC 33:2,PC 34:1,PC 34:4,PC 35:1,PC 35:3,PC 35:4,PC 36:1,PC 36:2,PC 36:2 (6Z)/(9E),PC 36:2 (9Z),PC 36:3,PC 36:4 (16/20),PC 36:4 (Z),PC 36:5,PC 36:6,PC 37:3,PC 38:3,PE 33:1,PE 34:1,PE 34:2,PE 34:3,PE 36:1,PE 36:2,PE 36:3,PE 36:4,PE 36:5,PG 34:0,PG 36:0,PI 34:1,PI 34:3,PI 35:2,PI 36:1,PI 36:2,PI 36:3,PI 36:4,PS 34:1,PS 34:2,PS 36:2,PS 36:3,TG 48:1,TG 48:2,TG 48:3,TG 50:2,TG 50:3,TG 50:4,TG 51:3,TG 51:4,TG 51:5,TG 52:3,TG 52:4,TG 52:5,TG 52:6,TG 53:3,TG 53:4,TG 53:5,TG 53:6,TG 53:9,TG 54:3,TG 54:4,TG 54:5,TG 54:6,TG 54:7,ZE 18:1,ZE 18:2
11,mean,C035_C0.1,NA,NA,NA,NA,NA,NA,0.000121837,6.42006E-05,NA,NA,NA,NA,NA,9.80515E-05,7.98686E-05,5.92405E-05,NA,NA,0.000308552,0.000523916,0.000206622,0.006071832,NA,9.43756E-05,7.61524E-05,2.0386E-05,5.97103E-05,0.000267216,0.000171784,NA,0.000233006,4.35039E-05,3.53686E-05,0.000806304,0.000284347,0.001030397,0.001403446,9.39313E-05,0.000676081,0.00029474,2.98735E-05,NA,NA,NA,0.000941264,0.001542758,0.00036439,4.01677E-05,0.00070447,0.001529889,0.003145253,0.000345435,0.000202102,0.000580473,0.001423973,0.000131361,7.47041E-05,0.000118977,0.000190518,0.000205799,NA,0.000241827,0.000222629,NA,NA,NA,NA,NA,2.87741E-05,3.53012E-05,NA,NA,NA,NA,0.000171832,0.000168607,4.69989E-05,NA,1.33874E-05,NA,NA,NA,NA,NA,0.000250682,0.000234121,0.000172453,NA,NA,7.79046E-05
12,mean,C036_C0.1,NA,NA,NA,NA,NA,NA,7.90588E-05,4.35246E-05,NA,NA,NA,NA,NA,6.84414E-05,5.26377E-05,3.94364E-05,NA,NA,0.000300695,0.000524474,0.000201865,0.005793873,NA,4.83098E-05,7.59505E-05,2.11954E-05,5.81902E-05,0.000274832,0.000166232,NA,0.000228442,4.44982E-05,4.01098E-05,0.00077824,0.000287975,0.000964467,0.001389055,9.43849E-05,0.000659255,0.000283483,3.11315E-05,NA,NA,NA,0.000910637,0.001562669,0.000437771,3.86765E-05,0.000750328,0.001616057,0.003602815,0.000422614,0.000189245,0.000530819,0.001340486,0.000121486,NA,0.000100695,0.000171612,0.000195453,NA,0.00029001,0.000269828,NA,NA,NA,NA,NA,2.69902E-05,NA,NA,NA,NA,NA,0.000149888,0.000147361,3.775E-05,NA,1.08581E-05,NA,NA,NA,NA,NA,0.000219688,0.000213539,0.000156709,NA,NA,NA
13,sd,C023_R10,8.2788E-09,9.02332E-07,1.66329E-07,1.58175E-06,1.90616E-07,2.74921E-07,1.83366E-07,3.40565E-06,1.36271E-06,1.05144E-06,1.42491E-06,1.77496E-06,5.17662E-07,2.99914E-07,1.75708E-06,2.1269E-06,1.79892E-07,4.41281E-07,5.33957E-06,4.32917E-05,9.1075E-06,0.000146809,6.69832E-08,5.88228E-07,3.56694E-07,2.3328E-07,6.61756E-07,9.88615E-07,8.24989E-08,5.53272E-09,3.70346E-06,4.34916E-07,4.06864E-07,8.32533E-08,9.19623E-06,5.01797E-05,2.62482E-06,1.68645E-06,7.43293E-07,2.52788E-07,NA,1.15829E-07,1.78121E-07,2.96652E-06,6.82935E-06,2.10862E-05,2.64163E-07,1.92202E-06,4.12113E-06,3.38387E-06,2.75023E-05,2.96677E-06,8.00562E-06,1.44711E-05,8.45887E-06,1.07169E-06,1.17836E-05,1.71761E-05,1.77408E-05,3.70085E-06,2.66027E-07,1.86278E-06,1.06513E-06,1.31776E-06,2.65407E-07,3.00708E-07,1.68547E-06,3.94698E-07,5.6646E-07,5.10262E-06,1.13329E-06,7.17825E-07,2.17179E-06,3.0003E-07,1.03988E-05,4.744E-07,2.58472E-06,1.66878E-07,4.55938E-06,4.55767E-06,2.82122E-07,8.49054E-07,2.40876E-07,4.11389E-06,1.20378E-06,4.16568E-05,2.44561E-06,5.57141E-09,9.52698E-06,1.07812E-05
14,sd,C023_R6,NA,2.5821E-06,NA,1.69898E-06,NA,NA,1.0808E-06,2.03467E-06,3.25967E-07,2.56833E-07,4.19279E-07,8.71683E-07,6.80656E-07,9.45161E-07,2.87296E-06,7.45775E-07,NA,NA,2.72893E-06,8.97608E-06,2.53006E-06,4.7702E-06,3.06662E-07,5.60304E-07,1.82935E-07,4.20488E-07,5.04261E-07,1.45425E-06,2.83027E-07,1.46552E-07,3.48163E-06,3.1155E-07,5.26547E-07,3.37338E-06,8.35467E-08,1.4657E-05,1.03333E-05,3.873E-07,1.93298E-06,2.16472E-07,NA,5.99086E-07,2.35562E-07,4.03617E-07,9.18986E-07,1.18304E-05,7.53946E-06,6.36413E-07,1.95637E-05,2.29974E-05,4.62594E-05,NA,7.99148E-07,1.36118E-07,2.64181E-05,4.0814E-06,1.00497E-05,4.62688E-06,1.18347E-05,8.14483E-06,1.06892E-06,4.97753E-06,6.7612E-06,4.16193E-09,1.40429E-06,NA,NA,1.8938E-08,6.57886E-08,3.97594E-08,1.21727E-06,8.3359E-07,1.00482E-06,1.05062E-07,7.46449E-06,6.70418E-06,1.27319E-06,NA,1.5421E-07,1.49714E-07,1.02076E-06,5.45745E-08,NA,5.20984E-06,2.72859E-06,8.40962E-06,4.90234E-07,NA,1.73095E-06,1.89345E-06
15,sd,C023_SS,NA,NA,NA,NA,NA,NA,3.00452E-06,NA,NA,NA,NA,NA,NA,3.23489E-07,2.06273E-07,NA,NA,NA,3.58905E-07,3.12417E-06,NA,0.000127144,NA,3.84083E-08,7.32087E-07,NA,4.87156E-07,3.25347E-06,3.45544E-07,NA,5.12509E-06,NA,NA,1.71279E-05,1.12806E-06,2.86375E-05,6.34955E-06,5.81978E-07,3.86644E-06,9.03319E-07,NA,NA,NA,NA,2.24757E-05,9.10965E-06,NA,NA,1.49172E-07,2.8021E-05,6.38189E-05,NA,NA,1.78944E-05,2.16547E-06,NA,NA,6.06111E-06,7.63176E-06,2.25508E-06,NA,1.4784E-05,3.19658E-06,NA,NA,NA,NA,NA,5.94886E-07,NA,NA,NA,NA,NA,7.1832E-07,4.1351E-06,NA,NA,1.43564E-06,NA,NA,NA,NA,NA,1.5717E-07,1.33652E-05,1.65755E-08,NA,NA,NA
16,sd,C024_R10,1.56331E-07,7.07988E-07,6.22883E-08,1.1165E-06,5.50915E-08,2.88636E-09,4.07257E-06,1.81523E-06,8.27522E-07,1.251E-06,1.90611E-06,4.3501E-07,1.03855E-07,1.71563E-06,3.68712E-07,2.91334E-06,6.76238E-08,5.99391E-06,1.30986E-06,9.42193E-07,4.99477E-06,4.77251E-06,1.78891E-07,4.01297E-07,2.36664E-09,8.08607E-07,5.58571E-07,7.63719E-07,3.49297E-07,8.92131E-07,1.97964E-06,2.15907E-07,7.98373E-07,1.22299E-05,8.31135E-06,0.000143879,6.83847E-06,1.91863E-06,1.82842E-06,5.66867E-07,NA,9.03327E-07,3.52207E-07,9.68161E-06,2.21892E-06,9.18642E-06,4.79677E-06,2.52137E-06,1.19048E-05,6.48944E-06,3.0289E-05,2.63126E-07,6.03411E-06,1.2579E-05,1.90607E-05,5.42339E-07,5.63828E-06,2.73767E-06,8.4932E-06,3.73248E-06,1.57335E-06,8.40243E-06,1.05427E-06,2.20438E-07,1.43773E-06,1.80697E-07,8.10939E-08,9.07029E-08,1.97515E-06,1.14977E-06,3.07861E-07,2.68805E-06,3.56694E-08,1.29457E-07,8.64968E-06,9.12995E-06,1.12934E-06,3.80436E-08,3.81422E-06,3.20827E-06,1.46159E-06,1.75814E-07,NA,8.55368E-07,5.63015E-06,8.77765E-06,6.43283E-07,2.81313E-08,2.05764E-06,3.92694E-08
17,sd,C024_R6,NA,1.4695E-06,NA,5.46398E-07,NA,NA,3.19148E-06,2.02901E-06,1.87431E-07,1.75465E-07,1.38309E-06,8.08508E-07,2.25652E-07,1.02554E-06,1.64645E-06,8.91212E-08,NA,NA,1.39521E-06,1.24628E-05,5.13725E-07,0.000130428,3.8783E-08,1.79578E-06,4.4304E-07,7.15386E-07,1.78128E-07,1.99535E-06,1.94712E-07,4.82868E-07,4.11362E-06,9.29234E-07,5.11158E-07,4.30989E-05,2.88518E-06,5.71855E-05,5.46326E-06,6.25587E-07,4.71561E-06,2.7011E-07,NA,1.66079E-06,5.94125E-07,5.4386E-06,2.51865E-06,8.08224E-06,1.02384E-05,7.74265E-07,1.963E-05,3.13135E-05,5.05932E-05,NA,2.72391E-06,8.8201E-07,6.18667E-06,2.98189E-06,7.85143E-06,4.27456E-06,2.21136E-06,1.50073E-06,6.27972E-07,7.74189E-06,2.61645E-06,9.10238E-07,9.11722E-07,NA,NA,9.10857E-09,1.24454E-06,8.16207E-07,5.6561E-07,1.34655E-07,1.87628E-07,2.88093E-08,5.53881E-06,1.36667E-06,1.79665E-06,NA,6.80436E-06,5.2757E-07,8.07498E-07,1.87607E-08,NA,4.66354E-06,1.22321E-06,1.52547E-06,1.64021E-06,NA,2.18991E-06,1.69712E-06
18,sd,C024_SS,NA,NA,NA,NA,NA,NA,3.07598E-07,NA,NA,NA,NA,NA,NA,4.33667E-07,3.51536E-08,NA,NA,NA,2.34092E-06,1.31291E-05,NA,5.45448E-05,NA,1.69018E-07,4.33482E-07,NA,6.86223E-08,7.38301E-07,2.86717E-07,NA,8.0553E-07,NA,NA,1.38177E-05,4.13958E-06,7.3577E-06,4.41112E-06,5.104E-06,3.29543E-06,7.53921E-07,NA,NA,NA,NA,5.79213E-06,9.01889E-06,NA,NA,9.429E-06,1.34523E-05,3.15887E-05,NA,NA,1.15206E-05,2.35832E-06,NA,NA,NA,1.32938E-06,3.74199E-06,NA,1.77764E-06,3.63777E-06,NA,NA,NA,NA,NA,1.78646E-07,NA,NA,NA,NA,NA,4.81376E-08,2.87952E-06,NA,NA,1.27648E-06,NA,NA,NA,NA,NA,6.29256E-06,2.47657E-05,4.18061E-07,NA,NA,NA
19,sd,C030_R10,5.42715E-07,7.85667E-07,1.15632E-07,4.0287E-07,1.40633E-07,2.66376E-07,6.64465E-06,8.45209E-07,2.16297E-06,7.12573E-07,2.0827E-07,4.30585E-07,1.05751E-07,1.55351E-06,1.39934E-06,4.18175E-07,2.40353E-07,9.72529E-07,2.92585E-06,2.8285E-05,8.59831E-06,0.000281961,2.42456E-07,2.00564E-06,6.65671E-08,1.4034E-07,1.44243E-07,1.23315E-06,2.16701E-07,1.23116E-06,5.0726E-06,5.75593E-07,3.78171E-07,4.01984E-05,2.43659E-06,6.20207E-05,4.36106E-06,1.00288E-06,4.61346E-06,8.41594E-07,NA,3.52574E-06,1.15743E-06,9.35564E-06,5.69962E-06,1.01618E-06,1.41226E-06,3.80804E-06,1.3168E-05,2.0843E-05,3.25039E-05,9.56801E-07,3.42391E-06,6.48739E-06,2.88723E-05,2.98633E-06,1.23927E-05,1.61703E-05,1.05234E-05,1.74821E-05,1.20058E-06,4.0915E-06,9.77895E-06,3.27385E-07,3.92619E-06,NA,1.11732E-07,2.21103E-07,9.54914E-08,1.84715E-06,9.39287E-07,1.91084E-06,3.15522E-07,1.08145E-07,5.37625E-06,7.20252E-06,1.42595E-06,NA,1.2807E-06,2.03829E-06,1.68932E-07,3.49124E-07,NA,1.19611E-05,1.3601E-05,1.31395E-05,7.75738E-08,NA,5.93329E-06,9.63528E-06
20,sd,C030_R6,NA,7.9894E-07,NA,3.07531E-07,NA,NA,1.17473E-06,1.25815E-06,1.1951E-06,1.28644E-07,1.11889E-06,2.05124E-07,3.68229E-08,1.4389E-06,2.99832E-06,1.11163E-06,NA,NA,2.43972E-06,5.67133E-06,2.34272E-07,0.000230863,3.22196E-07,4.03917E-07,7.06764E-08,3.71566E-07,7.52479E-07,1.55086E-07,2.09923E-07,1.02516E-06,4.05429E-06,8.8271E-07,5.79131E-07,4.40009E-05,9.01182E-06,8.07448E-05,2.551E-06,1.59293E-06,3.54221E-06,8.9581E-07,NA,1.6978E-07,2.45348E-07,2.00513E-06,1.07413E-05,9.39932E-06,2.91824E-06,1.23298E-06,2.66069E-05,8.02553E-06,1.96726E-05,NA,9.98267E-06,1.27188E-05,1.48507E-05,1.13483E-06,2.22747E-06,9.23481E-07,6.88068E-06,3.79014E-06,8.15703E-07,1.30588E-06,1.58261E-06,1.80569E-06,6.68611E-07,NA,NA,2.65579E-08,4.65419E-07,1.41051E-06,3.21046E-08,6.49696E-07,7.21943E-07,1.5224E-07,3.0854E-06,3.22598E-06,1.19475E-07,NA,1.3787E-06,2.96581E-06,9.19541E-08,2.39125E-07,NA,9.41612E-06,2.92237E-06,1.07466E-05,4.0242E-07,NA,4.3252E-06,5.87663E-06
21,sd,C030_SS,NA,NA,NA,NA,NA,NA,2.631E-07,NA,NA,NA,NA,NA,NA,3.72574E-07,1.15864E-07,NA,NA,NA,NA,1.15463E-06,NA,6.82236E-05,NA,4.01689E-07,1.78787E-06,NA,1.64302E-07,2.66084E-07,7.17678E-07,NA,8.86135E-07,NA,2.00609E-07,3.53756E-06,1.55076E-05,2.95417E-05,1.36645E-05,1.16054E-06,3.58659E-06,1.0446E-06,NA,NA,NA,NA,5.9238E-08,4.03315E-05,NA,NA,1.19858E-05,6.46598E-06,5.40267E-05,NA,NA,4.11477E-06,2.03528E-06,NA,NA,NA,1.13349E-06,3.60851E-06,NA,1.54101E-05,6.97818E-07,NA,NA,NA,NA,NA,6.51503E-07,NA,NA,NA,NA,NA,1.19971E-07,3.05093E-06,NA,NA,8.70446E-07,NA,NA,NA,NA,NA,1.63412E-05,2.98914E-06,3.14421E-06,NA,NA,NA
22,sd,C034_C0.1,NA,NA,NA,NA,NA,NA,1.79949E-06,3.8027E-07,NA,NA,NA,NA,NA,8.35572E-08,3.49511E-07,9.9227E-07,NA,NA,6.51954E-06,1.49906E-05,2.28703E-05,9.41251E-05,NA,7.88007E-07,1.41145E-07,2.02613E-07,4.70786E-08,6.7237E-07,1.98544E-06,NA,2.36345E-06,1.80678E-06,1.22321E-06,1.71026E-05,2.10979E-07,2.31574E-05,5.60165E-06,2.83644E-06,4.0588E-06,1.55591E-06,7.61801E-08,NA,NA,NA,1.45684E-05,4.06828E-05,3.91944E-05,5.00794E-06,3.81874E-06,1.52179E-05,0.000132227,1.50531E-05,3.89912E-06,1.38021E-05,1.03044E-05,5.60072E-06,NA,4.63939E-06,7.1814E-06,5.63945E-06,NA,7.84461E-06,4.48715E-06,NA,NA,NA,NA,NA,4.05864E-06,9.28942E-07,NA,NA,NA,NA,1.25913E-05,2.64299E-06,4.53836E-07,NA,2.81621E-07,NA,NA,NA,NA,NA,2.58278E-06,1.49168E-05,7.08931E-07,NA,NA,NA
23,sd,C035_C0.1,NA,NA,NA,NA,NA,NA,2.25937E-06,3.97116E-07,NA,NA,NA,NA,NA,1.99243E-07,4.56902E-07,9.05186E-07,NA,NA,5.69258E-06,5.50743E-06,1.30373E-06,0.000190887,NA,3.06097E-07,1.50478E-07,9.83479E-08,1.80363E-07,1.18225E-06,2.97088E-06,NA,5.48175E-06,1.9147E-06,NA,1.54387E-05,7.18952E-06,1.15201E-05,2.88404E-06,8.99479E-07,1.54874E-06,4.86373E-06,3.93717E-07,NA,NA,NA,1.07043E-05,3.49434E-06,5.58997E-06,2.51305E-07,1.31702E-05,2.75833E-07,2.11154E-06,9.48577E-06,9.4753E-06,3.45981E-05,1.69346E-05,3.31851E-06,1.14409E-06,5.71037E-06,1.37301E-05,4.65049E-06,NA,1.24619E-06,2.32347E-06,NA,NA,NA,NA,NA,1.31968E-07,9.72548E-07,NA,NA,NA,NA,8.7057E-06,4.35883E-08,1.57803E-07,NA,1.23079E-06,NA,NA,NA,NA,NA,4.26925E-07,2.54041E-07,2.39445E-06,NA,NA,NA
24,sd,C036_C0.1,NA,NA,NA,NA,NA,NA,3.27427E-06,1.3552E-06,NA,NA,NA,NA,NA,6.02813E-07,4.44106E-07,1.80503E-06,NA,NA,4.37763E-06,1.03913E-06,1.92274E-07,0.000245477,NA,6.91502E-07,8.25037E-07,4.94937E-07,3.12923E-08,1.57006E-06,6.52877E-06,NA,9.3332E-06,1.00719E-06,3.58761E-07,5.82315E-05,7.27974E-06,7.84352E-05,2.60204E-06,3.09279E-06,1.10903E-05,9.13058E-06,3.54669E-07,NA,NA,NA,2.65337E-05,8.81904E-05,2.6589E-06,2.3919E-07,8.51401E-06,7.02125E-05,0.000165354,3.01053E-05,3.01986E-06,2.37616E-05,4.43431E-07,1.69353E-06,NA,5.61916E-06,3.176E-06,9.51962E-06,NA,4.98036E-06,5.47002E-06,NA,NA,NA,NA,NA,1.45397E-06,NA,NA,NA,NA,NA,6.9632E-06,3.52238E-06,1.0972E-06,NA,1.74519E-06,NA,NA,NA,NA,NA,1.4253E-06,2.50411E-06,9.10765E-07,NA,NA,NA
25,rsd,C023_R10,0.000801609,0.019357146,0.020948576,0.050345228,0.028058404,0.022425732,0.000937272,0.030606926,0.030542171,0.036654542,0.018662899,0.030122131,0.010627039,0.000759862,0.00515437,0.014988059,0.012392019,0.006539121,0.010439908,0.065533005,0.122062149,0.018450016,0.004634083,0.00336304,0.007300271,0.004520245,0.01039006,0.003913279,0.004365564,0.000165887,0.011897981,0.022850579,0.005451955,6.58204E-05,0.023501718,0.029945946,0.002009495,0.044844987,0.002346921,0.006299516,NA,0.001478644,0.00515762,0.021453139,0.012421764,0.026067828,0.000831531,0.049525621,0.00305417,0.001195054,0.01162488,0.034005124,0.111699714,0.024844858,0.006066402,0.014323232,0.025183974,0.083151397,0.036711361,0.010662245,0.00684514,0.004918979,0.005137655,0.015264866,0.004707442,0.056436731,0.128164404,0.039856415,0.01230864,0.044453488,0.023632943,0.006262769,0.029105831,0.022171398,0.027233038,0.001284126,0.020013096,0.012855485,0.030096555,0.02332618,0.002966927,0.042729064,0.028007008,0.013396775,0.00186314,0.092848496,0.011751749,0.000418528,0.083071369,0.071323817
26,rsd,C023_R6,NA,0.136454164,NA,0.151659954,NA,NA,0.012245288,0.038800096,0.01400817,0.020359223,0.01215696,0.036112104,0.032371899,0.004912026,0.017232541,0.011186379,NA,NA,0.008033645,0.02020883,0.040243653,0.001023047,0.03025745,0.00442167,0.004019234,0.010384926,0.010791995,0.006437774,0.016859772,0.006729607,0.012924077,0.020603292,0.008820168,0.002833275,0.000243836,0.00913571,0.008446668,0.011478506,0.006743026,0.006387609,NA,0.010918023,0.008387933,0.003628772,0.001796396,0.017250051,0.030815115,0.01992873,0.016897218,0.009873975,0.028122698,NA,0.015407015,0.000361314,0.026849005,0.055085224,0.032850577,0.021345849,0.029251195,0.025359525,0.028594224,0.015316896,0.04022304,6.19344E-05,0.03596767,NA,NA,0.005141605,0.002888896,0.000909256,0.064984713,0.021032637,0.041440497,0.024320083,0.041101926,0.041180808,0.025890909,NA,0.002700683,0.002281151,0.031427375,0.008068179,NA,0.033612222,0.008875938,0.037740209,0.004575094,NA,0.028168954,0.022421117
