Fit,Type,Cultivation,Time h,Time d,Growth Rate model 1/h,Growth Rate Pirt 1/h,Cs g/L,Biomass viable model g/L,Biomass model g/L,Cp mg/L,qS model g/gh,qP model mg/gh,Death rate (10^-3 h^-1),Viability model %,Sample Point
Gompertz,SC,C023,0.0,0.0,0.026206994102729732,0.026045104627629156,9.80843,4.602444000000266,4.760000000000275,43.02,0.05240057637823242,0.32215418712794347,0.06465584131669788,96.69,SS
Gompertz,SC,C023,22.0,0.9166666666666666,0.012300944095010185,0.012233903914945141,7.328558174819001,6.816301243338433,6.98202226451922,40.3780142895511,0.026435945266035887,0.08565908799388829,0.06423810247065412,97.62646100367029,R1
Gompertz,SC,C023,44.5,1.8541666666666667,0.007180078796206354,0.007155701299008496,5.797156370255898,8.406655326229055,8.583440481759668,30.526832387672286,0.016955744094611744,0.03930063590291334,0.06424252546958638,97.94039283075018,R2
Gompertz,SC,C023,141.0,5.875,0.002168830792289796,0.002170993347778675,3.757953831789022,12.023918358824458,12.265640171224945,10.156822712488127,0.0076847634104817465,0.014916255376931718,0.06425649310339729,98.02927683328292,R3
Gompertz,SC,C023,189.5,7.895833333333333,0.0016489624247284387,0.001647915553631146,3.58589381983213,13.133461219824692,13.414427839145208,8.046819554143108,0.00671341214128892,0.013278844727103226,0.0642432705444736,97.90548935303363,R4
Gompertz,SC,C023,237.0,9.875,0.0013598180189098843,0.0013569665779439445,3.529216154408571,14.057081943928752,14.379561822363641,7.374950425272417,0.006173168933687718,0.012396520545204084,0.06423592794099692,97.75737339970016,R5
Gompertz,SC,C023,333.0,13.875,0.0010033171103138382,0.0010015818700344445,3.5035449334200215,15.624623265314845,16.038794785312273,7.2136176818145925,0.00551344716504187,0.011420939582263272,0.0642366426384751,97.41768926193438,R6
Gompertz,SC,C023,404.5,16.854166666666668,0.0008262374642043347,0.0008248335720648357,3.5007059791509034,16.599719049217647,17.087946413942916,7.319160366712029,0.005185372721234738,0.010956406013889655,0.06423644165072596,97.14285524487074,R7
Gompertz,SC,C023,476.5,19.854166666666668,0.0006902465452623558,0.0006886950558121576,3.5000610656110647,17.44691066693895,18.01391777688013,7.446353451669088,0.004932671163293992,0.010595150557383862,0.06423506649332573,96.85239426001543,R8
Gompertz,SC,C023,572.5,23.854166666666668,0.000552386319962447,0.0005511620009974007,3.50005491012485,18.398989548112432,19.076616188362085,7.611310677572253,0.0046774156569079845,0.010251270098281232,0.06423504842848823,96.44786772686108,R9
Gompertz,SC,C023,669.0,27.875,0.0004487251146912963,0.0004478357207162766,3.5000742580271558,19.185578188303847,19.979773061352684,7.755543269763703,0.0044856713030608005,0.010008041366836652,0.06423549488940686,96.02500553629878,R10
Gompertz,SC,C024,0.0,0.0,0.026726086629002655,0.026559059824058248,9.80843,4.525838999999694,4.709999999999681,42.84,0.05350356759579929,0.3295372073334745,0.06539834553938736,96.09,SS
Gompertz,SC,C024,22.0,0.9166666666666666,0.012470190312901697,0.012403030102642158,7.3480945341724,6.7469320185710515,6.939246578252771,40.14601840790665,0.026887519956517694,0.0852199363857934,0.0649672742339122,97.22859596480657,R1
Gompertz,SC,C024,44.5,1.8541666666666667,0.007251797877272676,0.0072277713623809655,5.820946149362769,8.342077050932446,8.545483925440074,30.154090829975388,0.0172266856875402,0.038313668095289376,0.06497175126814059,97.61971497129517,R2
Gompertz,SC,C024,141.0,5.875,0.00214863217287299,0.002151613708491592,3.7664562791128446,11.941608021884475,12.21025628891724,9.679974433109113,0.0077866824506161595,0.014129495361563748,0.06498789674743381,97.79981467484343,R3
Gompertz,SC,C024,189.5,7.895833333333333,0.0016226382183052463,0.0016215969933212604,3.5897674196432043,13.027993168690712,13.336037474715074,7.567753869020036,0.006802540475679958,0.012528105845290478,0.06497211882027085,97.69013616969501,R4
Gompertz,SC,C024,237.0,9.875,0.001331799348145498,0.0013292041083516881,3.530863797253779,13.925512349702252,14.275176058437564,6.885597777625606,0.0062596799285316316,0.011680230680977564,0.06496543171883082,97.55054713648427,R5
Gompertz,SC,C024,333.0,13.875,0.000977417963984089,0.0009757066313578449,3.503801862473851,15.43691245122849,15.87831410988507,6.693276702337548,0.005603526667625984,0.010749493843605792,0.06496560082557098,97.2200974511407,R6
Gompertz,SC,C024,404.5,16.854166666666668,0.0008023839547229302,0.0008011293542552379,3.500792086379692,16.370206997741082,16.885536048550755,6.7753248931702,0.005279520647215726,0.01031420103503161,0.06496583531645882,96.94810369461796,R7
Gompertz,SC,C024,476.5,19.854166666666668,0.0006684379845425446,0.0006670338616433846,3.500077192306121,17.176585499338053,17.770419120859422,6.87982665959277,0.005030638754543688,0.00997504506557356,0.06496450183457671,96.65830266870682,R8
Gompertz,SC,C024,572.5,23.854166666666668,0.0005331228918074445,0.0005319658770553389,3.50002838117412,18.077070699099494,18.78093099091946,7.016547890602301,0.004779977524160969,0.009649027270126852,0.06496425814641403,96.25226091209066,R9
Gompertz,SC,C024,669.0,27.875,0.00043170396884718485,0.0004308936035887855,3.5000889087001927,18.81560224762859,19.6351834216123,7.139158921490087,0.004592437956460154,0.009424494505387765,0.06496481935157623,95.82595610957418,R10
Gompertz,SC,C030,0.0,0.0,0.02683378264844808,0.026650857958825,10.02,4.618,4.86,42.0,0.053486940132881695,0.3506033447804694,0.1463213339702473,95.02057613168724,SS
Gompertz,SC,C030,22.0,0.9166666666666666,0.012434113356613749,0.012364934172374656,7.416469114077959,6.873557102881982,7.134160150146253,40.678016236975395,0.026598038365656624,0.08660954992606218,0.14535623742707043,96.3471096558026,R1
Gompertz,SC,C030,44.5,1.8541666666666667,0.007218343074926791,0.007194440051298352,5.825353070018568,8.475919453829071,8.761770871190995,30.56267436826522,0.016942183934993037,0.0373625715324336,0.14536640735622358,96.73751549128255,R2
Gompertz,SC,C030,141.0,5.875,0.0022077862399878466,0.0022071208389631016,3.74994336459079,12.057430240600716,12.49099643393225,9.387056012595517,0.007666619533372719,0.013131629301525394,0.14537748569696635,96.52897032174523,R3
Gompertz,SC,C030,189.5,7.895833333333333,0.0016959611560187476,0.0016953699196937616,3.581502950988668,13.144960434646324,13.66748681073484,7.196415807291886,0.006716453165712117,0.011621625905530432,0.14536951446686538,96.17686570088286,R4
Gompertz,SC,C030,237.0,9.875,0.001413325985490294,0.0014110982454593165,3.527101028130989,14.04925241299817,14.665725458321202,6.477256308228675,0.006188688804384113,0.010808406910066405,0.14535463761575673,95.79650493884535,R5
Gompertz,SC,C030,333.0,13.875,0.0010650570833662366,0.001062802381519852,3.5031256078200697,15.581491183495807,16.405081175491258,6.240716711758651,0.005542180321893613,0.009885076516193005,0.1453492365504899,94.97966524404724,R6
Gompertz,SC,C030,404.5,16.854166666666668,0.0008905815192642638,0.0008891279347599971,3.5007037193246493,16.532150060499657,17.52273585030673,6.299633303841497,0.0052198734958068755,0.009466401052983854,0.14535203254681595,94.34685429107958,R7
Gompertz,SC,C030,476.5,19.854166666666668,0.0007564890387535401,0.0007550939094021926,3.500065768945642,17.35622869574751,18.52424605455928,6.3827538865718205,0.0049711263517108984,0.009139985563168827,0.14535064776239057,93.69465642287615,R8
Gompertz,SC,C030,572.5,23.854166666666668,0.0006209948862539563,0.0006196731806584325,3.4999291828460026,18.27968843484311,19.696543411072536,6.492661027083696,0.004719809047284471,0.008812235695159425,0.1453489816284666,92.80658059305506,R9
Gompertz,SC,C030,669.0,27.875,0.000519231763283184,0.0005182522015880646,3.5001274023413504,19.039846963520645,20.71860817816573,6.6015482103111385,0.004531629131466609,0.008590993358107722,0.14535009492764858,91.8973263058556,R10
Gompertz,LC,C025,0.0,0.0,0.02537626202068835,0.02517355623104304,10.02071,4.549625999999901,4.7699999999998965,45.27,0.05457390069935681,0.395777359051051,0.6202324360731132,95.38,SS
Gompertz,LC,C025,22.0,0.9166666666666666,0.011292475393902959,0.011206092693707233,7.4343444160017205,6.521448147833331,6.817970467734477,45.49425001042866,0.02824625211935035,0.11443436315582564,0.6164403525634673,95.65087116020207,R1
Gompertz,LC,C025,44.5,1.8541666666666667,0.006118559397379777,0.006088332339969019,5.846607069701751,7.759827342487762,8.156078903406721,35.30742137952469,0.018668698797310736,0.05340078897179907,0.616496568816861,95.14164139886572,R2
Gompertz,LC,C025,141.0,5.875,0.001302507124695305,0.0012969017538811782,3.7567743704917373,9.55415575335461,10.48147811450179,11.704176225534813,0.009742827092251738,0.02121385934548971,0.6163884620917826,91.15275201630035,R3
Gompertz,LC,C025,189.5,7.895833333333333,0.0009390553657094591,0.0009426460326973131,3.5847142007917228,9.777510742957544,10.994210032147762,9.026925797105532,0.009084236541834538,0.01965394414321853,0.61660414366309,88.9332722802956,R4
Gompertz,LC,C025,237.0,9.875,0.0008102103402885882,0.0008084991161655508,3.528415053676955,9.895651711715747,11.400507553584598,8.069291897021632,0.008834815095001579,0.019044194443878584,0.6164429853049491,86.800097848313,R5
Gompertz,LC,C025,333.0,13.875,0.0007152274426842116,0.0007131049810782099,3.5034290798133743,10.026842061247955,12.121600303397361,7.598776869423219,0.008657477189606808,0.018628795740297643,0.6164214048113145,82.7187979332869,R6
Gompertz,LC,C025,404.5,16.854166666666668,0.000683802512081031,0.0006821811733968981,3.50070495096355,10.085995114563431,12.62405497160889,7.541823879040864,0.008600009975063917,0.018506445190934362,0.6164326626676432,79.89505065722958,R7
Gompertz,LC,C025,476.5,19.854166666666668,0.0006646542639336618,0.0006621319882836269,3.5000240546879007,10.127954640968525,13.114626138314073,7.5268218959926125,0.008562714839999602,0.018404733370066463,0.6164046905683044,77.22640763185726,R8
Gompertz,LC,C025,572.5,23.854166666666668,0.0006475638148706131,0.0006450508026491884,3.500046480066749,10.16570832536296,13.752906361170753,7.524676535160687,0.008530969055796154,0.01833533236678283,0.6164024503705575,73.91680026313782,R9
Gompertz,LC,C025,669.0,27.875,0.0006362685532259101,0.0006341314031308331,3.5001021000419765,10.190110566465128,14.382785352356935,7.522838546264166,0.008510675200936763,0.01829103088089296,0.6164128693063167,70.84935439709704,R10
Gompertz,LC,C026,0.0,0.0,0.024867301616783324,0.024670364385884956,10.02071,4.517640000000058,4.70000000000006,45.43,0.053626261313846076,0.37384460769160394,0.7059781168598043,96.12,SS
Gompertz,LC,C026,22.0,0.9166666666666666,0.01124144221518249,0.01117140216852656,7.492581692476422,6.433407754145929,6.701482354969914,43.10599731231976,0.028156654707847516,0.08668379643711914,0.7017609794736512,95.99977159344189,R1
