Fit,Cultivation,Type,mS opt (mg/g.h),mS SD (mg/g.h),kd opt (10^-3 1/h),kd opt SD (10^-3 1/h),SSE,R2,R2_d,Mu end (h^-1),Doubling time (d),qP at 0 (mg/gh)
Gompertz,C030,SC,3.557796110787568,0.30557108998416405,0.14535009963291498,0.0959587351322986,1203.688287243047,0.9971474213417446,0.9922352059536182,0.0005174030566095536,55.819408398133106,0.008586886600767337
Gompertz,C029,LC,6.530812206810788,0.01835857414089457,0.5971813127454139,0.0034982382266752717,27710.618307778375,0.8422676795611312,0.9545383274213759,0.0006404410277777681,45.09569385887744,0.016250709299887235
Gompertz,C026,LC,7.3265349890957125,0.022556339353362688,0.7017316712747793,0.01812266864564593,5975.346596819265,0.9456616623199432,0.9474490256490534,0.0007112391770793251,40.606779623600396,0.008316053682352931
Gompertz,C025,LC,7.3063232542653544,0.05083917260738911,0.6164103914084406,0.043223973662233205,4007.53187911883,0.9699016552316346,0.9245322262579623,0.0006361368699985498,45.40081527328686,0.018290077753843448
Gompertz,C024,SC,3.7790114782673676,0.0016461054980560373,0.06496470657602268,0.0010178403655329014,1425.0642663155777,0.9935666329744557,0.4259943455437394,0.0004299108176340472,67.17935752878758,0.009418708166394498
Gompertz,C023,SC,3.6399123288641695,0.03407112742849721,0.06423540453311855,0.021327440377710612,667.8460090854467,0.9976520010996448,0.6457190353175281,0.0004468848260161056,64.62768669234293,0.010002257866956327
