Thinning Factor,Biomass Composition,Rxn,Geweke Fails,Rhat,ESS-Bulk,ESS-Tail,Rhat Fails,ESS-Bulk Fails
1,Consensus,CYOOm,4,1.0215799208448861,210.92585563404967,242.11745923585778,True,True
1,Consensus,CSm,1,1.0557778077026343,140.7451006726364,90.70741909210182,True,True
1,Consensus,PYK,4,1.0581057865640342,214.63093586850223,63.79057845700374,True,True
1,Consensus,PGI,1,1.039817736030067,186.24444365912603,255.57206432288945,True,True
1,Consensus,NADH2_u6cm,4,1.0316013742826198,170.42466034251018,215.50046678451287,True,True
1,Consensus,MDHm,4,1.025746592465836,218.62667376354335,228.1444314852733,True,True
1,Consensus,ATPS3m,4,1.0395864916791477,200.11950695587103,221.17052860704098,True,True
1,Consensus,G6PDH2,2,1.053806932001337,193.31459791200288,208.6705812753985,True,True
1,Consensus,NADH2_u6mh,4,1.035989414907266,201.0369610602523,221.68108076657273,True,True
1,Consensus,AKGMALtm,4,1.0430522002250318,227.63160452915557,221.57627228420628,True,True
1,Consensus,CYOR_u6m,4,1.0215807308503126,210.9242661340063,242.11745923585778,True,True
1,ScaledConsensus,CYOOm,4,1.0194684450067109,166.12740376546338,158.24298095368104,True,True
1,ScaledConsensus,CSm,4,1.0098552829808545,240.37591444854826,249.15492303836703,False,True
1,ScaledConsensus,PYK,4,1.0102921599556507,269.1894001637544,292.1964605090124,True,True
1,ScaledConsensus,PGI,4,1.0124329059420052,241.56200958876187,234.16019241313236,True,True
1,ScaledConsensus,NADH2_u6cm,4,1.0371745985293221,172.9435475642828,242.89022425584665,True,True
1,ScaledConsensus,MDHm,4,1.04068724826227,174.76098438161873,118.16269774610981,True,True
1,ScaledConsensus,ATPS3m,4,1.0306153383504069,186.26191677528098,252.52724301143587,True,True
1,ScaledConsensus,G6PDH2,4,1.0065506641065218,226.8094354881916,160.28975381777883,False,True
1,ScaledConsensus,NADH2_u6mh,4,1.0440301729220824,186.35880865241268,238.09011396921358,True,True
1,ScaledConsensus,AKGMALtm,4,1.0426471777879749,185.2785951004217,248.66624377232554,True,True
1,ScaledConsensus,CYOR_u6m,4,1.0194685096239353,166.12735375985812,158.24298095368104,True,True
1,Derived,CYOOm,4,1.016022292375817,213.00433111945438,207.2919053243178,True,True
1,Derived,CSm,1,1.0309232759469784,197.05803601505238,230.32653752260333,True,True
1,Derived,PYK,1,1.0261936372642853,209.81150916820795,224.079729417707,True,True
1,Derived,PGI,0,1.0496127387337526,212.33922210651886,231.95317299272426,True,True
1,Derived,NADH2_u6cm,4,1.0049215681601866,222.44125767325585,227.91418456033662,False,True
1,Derived,MDHm,4,1.014714127856142,223.00508219233143,158.98681583200627,True,True
1,Derived,ATPS3m,4,1.001735112227047,229.39862665192285,230.36591839212105,False,True
1,Derived,G6PDH2,0,1.0565641071694511,193.44293700581994,229.00513311799833,True,True
1,Derived,NADH2_u6mh,4,1.0025464099933066,232.10906530391802,257.0216822443543,False,True
1,Derived,AKGMALtm,3,1.013603434039235,233.32166654088294,154.35484672104323,True,True
1,Derived,CYOR_u6m,4,1.0160222723719166,213.00639334970782,207.2919053243178,True,True
1,Interpolated,CYOOm,4,1.0298939629309598,222.17045133339514,217.71292272925626,True,True
1,Interpolated,CSm,4,1.044933161171041,184.8400970668746,177.8493200007755,True,True
1,Interpolated,PYK,4,1.038800320603897,226.344762731337,248.7667921045644,True,True
1,Interpolated,PGI,4,1.0399093073227221,196.42078714834446,233.46352403650852,True,True
1,Interpolated,NADH2_u6cm,4,1.0612717615104887,210.0042493821084,242.78606550990037,True,True
1,Interpolated,MDHm,4,1.0583311277765122,222.339059320587,254.0115788165627,True,True
1,Interpolated,ATPS3m,4,1.0510770868088155,206.29335622451117,99.87520232344103,True,True
1,Interpolated,G6PDH2,4,1.0271609440001062,200.70013938515555,235.82337605117638,True,True
1,Interpolated,NADH2_u6mh,4,1.0528203508786231,208.1260147426008,80.70620075403843,True,True
1,Interpolated,AKGMALtm,4,1.0409079597392605,226.49699663534383,251.0416010599795,True,True
1,Interpolated,CYOR_u6m,4,1.0298939410451464,222.17012580148494,217.71292272925626,True,True
1,Fitted,CYOOm,0,1.0075004158475878,197.97356769023605,230.27986351852488,False,True
1,Fitted,CSm,0,1.0252761728472666,294.4319332297536,238.84788036493373,True,True
1,Fitted,PYK,1,1.0152701986856676,281.41596412114956,225.5209329475367,True,True
1,Fitted,PGI,0,1.0299156204360993,279.07819758050294,227.69401769150053,True,True
1,Fitted,NADH2_u6cm,4,1.0053464322905137,137.48920537063805,165.13253780451745,False,True
1,Fitted,MDHm,4,1.0021764650835066,158.09055407612794,242.56758534269346,False,True
1,Fitted,ATPS3m,4,1.0022603316880276,157.46080912706006,225.9891745856739,False,True
1,Fitted,G6PDH2,0,1.0368305436417762,292.89344340473264,231.51308873416613,True,True
1,Fitted,NADH2_u6mh,4,1.003443114152665,151.29588687738845,226.77011845683214,False,True
1,Fitted,AKGMALtm,4,1.0041767756777558,187.70312515991364,240.17428987476416,False,True
1,Fitted,CYOR_u6m,0,1.0075001823607195,197.97151107534023,230.27986351852488,False,True
10,Consensus,CYOOm,4,1.019678960828467,329.0360310201796,262.7198712735415,True,True
10,Consensus,CSm,4,1.0074677387902322,357.7842747783802,434.9992015651022,False,True
10,Consensus,PYK,4,1.016241595818353,218.04682912492197,187.27997148162413,True,True
10,Consensus,PGI,4,1.011795685480462,342.29006841564734,350.9940000898163,True,True
10,Consensus,NADH2_u6cm,4,1.035679306262048,284.1893350215963,225.50985274766845,True,True
10,Consensus,MDHm,4,1.042423114050549,266.24165282910394,257.6684453065366,True,True
10,Consensus,ATPS3m,4,1.0340244628317485,291.0084537447045,267.3289682360949,True,True
10,Consensus,G6PDH2,4,1.0214783094520554,326.4128030190321,349.8129591862328,True,True
10,Consensus,NADH2_u6mh,4,1.03495438756746,289.4030120999701,271.1912618717357,True,True
10,Consensus,AKGMALtm,4,1.046410972447717,249.08515288562631,262.46471015872396,True,True
10,Consensus,CYOR_u6m,4,1.0196798964238187,329.03432745680857,262.7198712735415,True,True
10,ScaledConsensus,CYOOm,4,1.0119490282891659,268.2357277635232,318.26496608650814,True,True
10,ScaledConsensus,CSm,4,1.0112517714316955,311.37807010679705,419.2759449783939,True,True
10,ScaledConsensus,PYK,4,1.0042738147215884,280.5098857980835,356.8132686225796,False,True
10,ScaledConsensus,PGI,4,1.0135524147897428,278.639102622289,364.4727332977324,True,True
10,ScaledConsensus,NADH2_u6cm,4,1.019794718508008,271.1215090715094,354.8209159637914,True,True
