Thinning Factor,Biomass Composition,Rxn,Geweke Fails,Rhat,ESS-Bulk,ESS-Tail,Rhat Fails,ESS-Bulk Fails
10,Fitted,CYOOm,4,1.0120609209666065,238.884929310984,291.3501473025386,True,True
10,Fitted,CSm,1,1.0198398281898502,219.67296284714502,215.6375117107525,True,True
10,Fitted,PYK,1,1.0212797647789527,242.56097264054443,215.69451688551356,True,True
10,Fitted,PGI,4,1.0018812091052027,315.0132291699882,266.7991530306269,False,True
10,Fitted,NADH2_u6cm,4,1.02615333104054,237.49831685819944,339.7251567533764,True,True
10,Fitted,MDHm,4,1.0302526442301165,250.52707661103744,250.03643176377403,True,True
10,Fitted,ATPS3m,4,1.0124677947861003,244.7146346057217,295.83823841943314,True,True
10,Fitted,G6PDH2,4,1.0082340531076277,275.32818153002194,273.55279611461515,False,True
10,Fitted,NADH2_u6mh,4,1.0167649365208113,243.78573047481177,314.3291934457874,True,True
10,Fitted,AKGMALtm,4,1.0272742881628978,246.5752847307259,280.5103195023585,True,True
10,Fitted,CYOR_u6m,4,1.0120608273688017,238.88589383233472,291.3501473025386,True,True
100,ScaledConsensus,PYK,4,1.0141577729632663,810.7925914184968,1752.8544754976645,True,False
100,Interpolated,CYOOm,4,1.020602937488659,790.2067153768402,745.6556109471217,True,False
100,Interpolated,CSm,2,1.011678915361994,743.815296361123,1504.6568381172592,True,False
100,Interpolated,PYK,2,1.0127116715964801,751.0925461136036,1932.148527576993,True,False
100,Interpolated,CYOR_u6m,4,1.0206026475215184,790.2075709269453,745.6556109471217,True,False
